layer,code,seq,name,removed_from_gmaps,lat,lon,source_url,description
mosque,東京09,112,浅草モスク,False,35.721772,139.8015514,,
mosque,東京10,113,アッサラームファンデーション,False,35.7059919,139.777849,,
mosque,東京11,114,蒲田マスジド,False,35.5644404,139.7170964,,
mosque,東京12,115,Haijima Masjid,False,35.722876,139.3437,,
mosque,東京13,116,日本ムスリム協会,False,35.62644,139.7278137,,
mosque,東京14,117,マディーナマスジド東京,False,35.765203,139.7272675,,
mosque,東京15,098,東東京中央MSQ＆文化センター,False,35.7610141,139.8369497,,
mosque,東京16,099,マッキーマスジド東京,False,35.7437139,139.8427497,,
mosque,東京17,100,新小岩マスジド,False,35.712728,139.8593161,,
mosque,東京18,101,東京ジャーミイ･ディヤーナト トルコ文化センター,False,35.6681609,139.6765535,,
mosque,東京19,102,Darul Uloom Tokyo Madrasa & Masjid || Aoto Masjid (Aoto Masjid),False,35.7488551,139.8520417,,
mosque,東京20,103,Masjid Nusantara - Akihabara Tokyo,False,35.6962226,139.7735832,,
mosque,東京21,104,イスラミックセンタージャパン,False,35.6687614,139.6645956,https://www.google.com/maps?cid=18119827819999585829,東京都世田谷区大原１丁目１６−１１<br>https://www.google.com/maps?cid=18119827819999585829<br>https://islamcenter.or.jp/
mosque,東京22,105,渋谷Mushalla,False,35.6581418,139.6962265,,渋谷Mushalla مسجد‎‎
mosque,東京23,106,アラブイスラーム学院,False,35.6562041,139.7282285,,
mosque,東京24,107,東京西葛西モスク,False,35.6571119,139.8623927,,
mosque,東京25,095,Masjid Al Abrar Tokyo,False,35.7534309,139.8427985,,
mosque,東京26,259,Dar Al Taqwa Nihon Islamic Bunka Center (Musallah/Masjid),False,35.6905012,139.8389124,,
mosque,神奈01,131,カディジャモスク,False,35.3782306,139.3592941,,
mosque,神奈02,136,マスジド トゥバー,False,35.5482565,139.3286844,,
mosque,神奈03,138,ムハンマディ・マスジット,False,35.5242577,139.3907919,,
mosque,神奈04,139,田名モスク,False,35.5494078,139.347786,,
mosque,神奈05,118,Darut Tauhid Masjid,False,35.5275064,139.4948371,,
mosque,神奈06,119,YOKOHAMA MUSALAH,False,35.4659278,139.6088266,,
mosque,神奈07,120,ジャーメ・マスジド 横浜,False,35.5442244,139.6013119,,
mosque,神奈08,121,東海モスク,False,35.3685285,139.2726926,,
mosque,神奈09,123,海老名マスジド,False,35.4641468,139.3830387,,
mosque,神奈10,125,Idogaya Musollah,False,35.4318686,139.6028192,,
mosque,神奈11,126,DARUL MUSHAF AL ISLAMIYAH,False,35.5301443,139.2728746,,
mosque,神奈12,127,Quba Cultural Center,False,35.4287941,139.4094829,,
mosque,神奈13,128,Masjid As-Sholihin,False,35.5002816,139.4994667,https://masjidassholihinyokohama.org/,神奈川県横浜市旭区上川井町684-4<br>https://masjidassholihinyokohama.org/<br>2026年4月完成<br>https://maps.app.goo.gl/VRrvnxXKhXF1PQRk9
mosque,新潟01,130,Masjid al khan,False,37.16935,138.3130522,,
mosque,新潟02,132,★イスラミックセンター 新潟,True,37.9794646,139.2092306,,2026.3<br>googleマップ登録削除
